ID,Date,CrimeEventID,CrimeActivity,StormEventID,StormActivity,ZoneCityID,Zone,City
2030309,10/10/2019,1910020000000.0,Aggravated Assault,774683,Tropical Storm,24,COASTAL MIAMI-DADE COUNTY,North Miami
2030344,10/10/2019,1910020000000.0,Violent Crime,774613,Strong Wind Rain,33,MIAMI-DADE CO.,Virginia Gardens
2030394,10/11/2019,1910020000000.0,Violent Crime,774591,Lightning,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030501,10/11/2019,1910020000000.0,Larcency- Theft,774456,Lightning,7,INLAND MIAMI-DADE,Doral
2030411,10/11/2019,1910020000000.0,Burglary,774661,Strong Wind Rain,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030338,10/11/2019,1910020000000.0,Larcency- Theft,774519,Coastal Flood,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030403,10/11/2019,1910020000000.0,Murder and Non-negligent manslaughter,774593,Strong Wind Rain,6,MIAMI-DADE CO.,Cutler Bay
2030352,10/11/2019,1910020000000.0,Burglary,774573,Flash Flood,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030537,10/12/2019,1910020000000.0,Property Crime,774642,Strong Wind Rain,11,METROPOLITAN MIAMI-DADE,Hialeah
2030400,10/12/2019,1910020000000.0,Motor Vehicle - Theft,774545,Storm Surge/Tide,10,MIAMI-DADE CO.,Golden Beach
2030465,10/12/2019,1910020000000.0,Motor Vehicle - Theft,774432,Coastal Flood,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030356,10/12/2019,1910020000000.0,Murder and Non-negligent manslaughter,774437,Storm Surge/Tide,8,MIAMI-DADE CO.,El Portal
2030562,10/12/2019,1910020000000.0,Murder and Non-negligent manslaughter,774684,Tropical Storm,11,METROPOLITAN MIAMI-DADE,Hialeah
2030385,10/12/2019,1910020000000.0,Aggravated Assault,774540,Thunderstorm Wind,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030358,10/12/2019,1910020000000.0,Motor Vehicle - Theft,774552,Coastal Flood,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030447,10/13/2019,1910020000000.0,Violent Crime,774576,Strong Wind Rain,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030464,10/13/2019,1910020000000.0,Aggravated Assault,774575,Hail,34,COASTAL MIAMI-DADE COUNTY,West Miami
2030321,10/13/2019,1910020000000.0,Violent Crime,774698,Strong Wind Rain,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030306,10/13/2019,1910020000000.0,Burglary,774409,Coastal Flood,27,INLAND MIAMI-DADE,Palmetto Bay
2030459,10/13/2019,1910020000000.0,Property Crime,774522,Coastal Flood,30,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
2030382,10/13/2019,1910020000000.0,Larcency- Theft,774615,Hail,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030539,10/14/2019,1910020000000.0,Violent Crime,774609,Flash Flood,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030485,10/14/2019,1910020000000.0,Property Crime,774533,Hail,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030445,10/14/2019,1910020000000.0,Motor Vehicle - Theft,774479,Strong Wind Rain,33,MIAMI-DADE CO.,Virginia Gardens
2030499,10/14/2019,1910020000000.0,Property Crime,774608,Hail,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030454,10/14/2019,1910020000000.0,Violent Crime,774583,Strong Wind Rain,15,COASTAL MIAMI-DADE COUNTY,Key Biscayne
2030551,10/14/2019,1910020000000.0,Robbery,774501,Hail,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030437,10/14/2019,1910020000000.0,Robbery,774557,Tropical Storm,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030446,10/14/2019,1910020000000.0,Burglary,774446,Hail,14,MIAMI-DADE CO.,Indian Creek
2030318,10/14/2019,1910020000000.0,Property Crime,774448,Flash Flood,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030553,10/15/2019,1910020000000.0,Murder and Non-negligent manslaughter,774536,Storm Surge/Tide,17,INLAND MIAMI-DADE,Miami
2030387,10/15/2019,1910020000000.0,Robbery,774549,Strong Wind Rain,14,MIAMI-DADE CO.,Indian Creek
2030337,10/15/2019,1910020000000.0,Violent Crime,774655,Hail,2,INLAND MIAMI-DADE,Bal Harbour
2030436,10/15/2019,1910020000000.0,Violent Crime,774408,Strong Wind Rain,33,MIAMI-DADE CO.,Virginia Gardens
2030392,10/15/2019,1910020000000.0,Larcency- Theft,774653,Lightning,30,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
2030474,10/15/2019,1910020000000.0,Murder and Non-negligent manslaughter,774434,Strong Wind Rain,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030476,10/16/2019,1910020000000.0,Burglary,774414,Flash Flood,13,METROPOLITAN MIAMI-DADE,Homestead
2030296,10/16/2019,1910020000000.0,Larcency- Theft,774424,Strong Wind Rain,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030410,10/16/2019,1910020000000.0,Robbery,774554,Thunderstorm Wind,7,INLAND MIAMI-DADE,Doral
2030413,10/16/2019,1910020000000.0,Violent Crime,774454,Tropical Storm,5,INLAND MIAMI-DADE,Coral Gables
2030417,10/16/2019,1910020000000.0,Larcency- Theft,774635,Strong Wind Rain,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030557,10/16/2019,1910020000000.0,Robbery,774475,Strong Wind Rain,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030530,10/17/2019,1910020000000.0,Violent Crime,774647,Tropical Storm,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030291,10/17/2019,1910020000000.0,Robbery,774610,Tropical Storm,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030487,10/17/2019,1910020000000.0,Larcency- Theft,774662,Strong Wind Rain,13,METROPOLITAN MIAMI-DADE,Homestead
2030299,10/17/2019,1910020000000.0,Violent Crime,774461,Thunderstorm Wind,27,INLAND MIAMI-DADE,Palmetto Bay
2030559,10/17/2019,1910020000000.0,Murder and Non-negligent manslaughter,774504,Strong Wind Rain,2,INLAND MIAMI-DADE,Bal Harbour
2030526,10/17/2019,1910020000000.0,Larcency- Theft,774562,Hail,9,METROPOLITAN MIAMI-DADE,Florida City
2030540,10/17/2019,1910020000000.0,Burglary,774506,Strong Wind Rain,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030458,10/18/2019,1910020000000.0,Property Crime,774484,Flash Flood,8,MIAMI-DADE CO.,El Portal
2030363,10/18/2019,1910020000000.0,Murder and Non-negligent manslaughter,774539,Hail,26,MIAMI-DADE CO.,Opa-locka
2030448,10/18/2019,1910020000000.0,Property Crime,774426,Strong Wind Rain,20,COASTAL MIAMI-DADE COUNTY,Miami Lakes
2030391,10/18/2019,1910020000000.0,Murder and Non-negligent manslaughter,774648,Tropical Storm,33,MIAMI-DADE CO.,Virginia Gardens
2030430,10/18/2019,1910020000000.0,Violent Crime,774486,Strong Wind Rain,26,MIAMI-DADE CO.,Opa-locka
2030360,10/18/2019,1910020000000.0,Property Crime,774596,Storm Surge/Tide,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030317,10/19/2019,1910020000000.0,Violent Crime,774700,Thunderstorm Wind,6,MIAMI-DADE CO.,Cutler Bay
2030528,10/19/2019,1910020000000.0,Violent Crime,774622,Strong Wind Rain,9,METROPOLITAN MIAMI-DADE,Florida City
2030548,10/19/2019,1910020000000.0,Burglary,774679,Hail,13,METROPOLITAN MIAMI-DADE,Homestead
2030395,10/19/2019,1910020000000.0,Burglary,774466,Hail,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030488,10/19/2019,1910020000000.0,Aggravated Assault,774496,Tropical Storm,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030514,10/19/2019,1910020000000.0,Aggravated Assault,774574,Storm Surge/Tide,8,MIAMI-DADE CO.,El Portal
2030542,10/19/2019,1910020000000.0,Motor Vehicle - Theft,774629,Coastal Flood,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030536,10/19/2019,1910020000000.0,Motor Vehicle - Theft,774665,Flash Flood,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030519,10/19/2019,1910020000000.0,Murder and Non-negligent manslaughter,774656,Strong Wind Rain,2,INLAND MIAMI-DADE,Bal Harbour
2030290,10/20/2019,1910020000000.0,Larcency- Theft,774516,Storm Surge/Tide,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030473,10/20/2019,1910020000000.0,Murder and Non-negligent manslaughter,774624,Storm Surge/Tide,6,MIAMI-DADE CO.,Cutler Bay
2030467,10/20/2019,1910020000000.0,Murder and Non-negligent manslaughter,774520,Thunderstorm Wind,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030325,10/20/2019,1910020000000.0,Property Crime,774686,Lightning,27,INLAND MIAMI-DADE,Palmetto Bay
2030295,10/20/2019,1910020000000.0,Robbery,774503,Strong Wind Rain,34,COASTAL MIAMI-DADE COUNTY,West Miami
2030428,10/20/2019,1910020000000.0,Larcency- Theft,774511,Storm Surge/Tide,34,COASTAL MIAMI-DADE COUNTY,West Miami
2030426,10/21/2019,1910020000000.0,Violent Crime,774417,Coastal Flood,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030293,10/21/2019,1910020000000.0,Robbery,774449,Thunderstorm Wind,33,MIAMI-DADE CO.,Virginia Gardens
2030431,10/21/2019,1910020000000.0,Larcency- Theft,774637,Storm Surge/Tide,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030577,10/22/2019,1910020000000.0,Property Crime,774618,Tropical Storm,9,METROPOLITAN MIAMI-DADE,Florida City
2030575,10/22/2019,1910020000000.0,Aggravated Assault,774693,Hail,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030444,10/22/2019,1910020000000.0,Property Crime,774517,Flash Flood,10,MIAMI-DADE CO.,Golden Beach
2030520,10/22/2019,1910020000000.0,Violent Crime,774447,Hail,12,MIAMI-DADE CO.,Hialeah Gardens
2030319,10/22/2019,1910020000000.0,Burglary,774592,Hail,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030587,10/22/2019,1910020000000.0,Burglary,774673,Thunderstorm Wind,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030584,10/22/2019,1910020000000.0,Aggravated Assault,774691,Strong Wind Rain,6,MIAMI-DADE CO.,Cutler Bay
2030495,10/22/2019,1910020000000.0,Violent Crime,774699,Lightning,8,MIAMI-DADE CO.,El Portal
2030505,10/23/2019,1910020000000.0,Murder and Non-negligent manslaughter,774681,Hail,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030574,10/23/2019,1910020000000.0,Property Crime,774442,Tropical Storm,24,COASTAL MIAMI-DADE COUNTY,North Miami
2030541,10/24/2019,1910020000000.0,Motor Vehicle - Theft,774697,Flash Flood,26,MIAMI-DADE CO.,Opa-locka
2030552,10/24/2019,1910020000000.0,Larcency- Theft,774500,Storm Surge/Tide,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030481,10/24/2019,1910020000000.0,Property Crime,774438,Lightning,24,COASTAL MIAMI-DADE COUNTY,North Miami
2030512,10/24/2019,1910020000000.0,Aggravated Assault,774565,Storm Surge/Tide,8,MIAMI-DADE CO.,El Portal
2030580,10/24/2019,1910020000000.0,Burglary,774632,Coastal Flood,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030466,10/25/2019,1910020000000.0,Larcency- Theft,774402,Thunderstorm Wind,12,MIAMI-DADE CO.,Hialeah Gardens
2030477,10/25/2019,1910020000000.0,Property Crime,774566,Flash Flood,14,MIAMI-DADE CO.,Indian Creek
2030378,10/25/2019,1910020000000.0,Aggravated Assault,774474,Storm Surge/Tide,30,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
2030502,10/25/2019,1910020000000.0,Property Crime,774404,Strong Wind Rain,15,COASTAL MIAMI-DADE COUNTY,Key Biscayne
2030379,10/25/2019,1910020000000.0,Burglary,774463,Hail,13,METROPOLITAN MIAMI-DADE,Homestead
2030393,10/25/2019,1910020000000.0,Larcency- Theft,774707,Thunderstorm Wind,33,MIAMI-DADE CO.,Virginia Gardens
2030327,10/26/2019,1910020000000.0,Larcency- Theft,774598,Strong Wind Rain,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030570,10/26/2019,1910020000000.0,Aggravated Assault,774459,Tropical Storm,33,MIAMI-DADE CO.,Virginia Gardens
2030534,10/26/2019,1910020000000.0,Aggravated Assault,774646,Hail,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030524,10/26/2019,1910020000000.0,Murder and Non-negligent manslaughter,774537,Lightning,12,MIAMI-DADE CO.,Hialeah Gardens
2030303,10/26/2019,1910020000000.0,Burglary,774569,Hail,11,METROPOLITAN MIAMI-DADE,Hialeah
2030438,10/27/2019,1910020000000.0,Property Crime,774413,Tropical Storm,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030308,10/27/2019,1910020000000.0,Violent Crime,774498,Storm Surge/Tide,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030462,10/27/2019,1910020000000.0,Burglary,774411,Lightning,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030535,10/27/2019,1910020000000.0,Burglary,774564,Hail,2,INLAND MIAMI-DADE,Bal Harbour
2030560,10/27/2019,1910020000000.0,Motor Vehicle - Theft,774644,Hail,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030555,10/28/2019,1910020000000.0,Robbery,774643,Thunderstorm Wind,24,COASTAL MIAMI-DADE COUNTY,North Miami
2030450,10/28/2019,1910020000000.0,Violent Crime,774669,Flash Flood,12,MIAMI-DADE CO.,Hialeah Gardens
2030498,10/28/2019,1910020000000.0,Property Crime,774521,Coastal Flood,17,INLAND MIAMI-DADE,Miami
2030316,10/28/2019,1910020000000.0,Violent Crime,774651,Storm Surge/Tide,27,INLAND MIAMI-DADE,Palmetto Bay
2030366,10/28/2019,1910020000000.0,Murder and Non-negligent manslaughter,774458,Tropical Storm,6,MIAMI-DADE CO.,Cutler Bay
2030516,10/29/2019,1910020000000.0,Robbery,774625,Hail,2,INLAND MIAMI-DADE,Bal Harbour
2030389,10/29/2019,1910020000000.0,Robbery,774541,Flash Flood,10,MIAMI-DADE CO.,Golden Beach
2030460,10/29/2019,1910020000000.0,Violent Crime,774441,Hail,6,MIAMI-DADE CO.,Cutler Bay
2030507,10/29/2019,1910020000000.0,Burglary,774425,Coastal Flood,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030405,10/30/2019,1910020000000.0,Murder and Non-negligent manslaughter,774626,Tropical Storm,30,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
2030471,10/30/2019,1910020000000.0,Aggravated Assault,774614,Lightning,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030468,10/30/2019,1910020000000.0,Motor Vehicle - Theft,774508,Strong Wind Rain,11,METROPOLITAN MIAMI-DADE,Hialeah
2030367,10/30/2019,1910020000000.0,Motor Vehicle - Theft,774515,Tropical Storm,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030376,10/31/2019,1910020000000.0,Property Crime,774468,Tropical Storm,13,METROPOLITAN MIAMI-DADE,Homestead
2030490,10/31/2019,1910020000000.0,Aggravated Assault,774534,Thunderstorm Wind,8,MIAMI-DADE CO.,El Portal
2030500,10/31/2019,1910020000000.0,Motor Vehicle - Theft,774692,Thunderstorm Wind,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030463,10/31/2019,1910020000000.0,Burglary,774532,Hail,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030472,10/31/2019,1910020000000.0,Aggravated Assault,774472,Hail,28,METROPOLITAN MIAMI-DADE,Pinecrest
2030333,10/31/2019,1910020000000.0,Murder and Non-negligent manslaughter,774491,Strong Wind Rain,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030364,10/31/2019,1910020000000.0,Motor Vehicle - Theft,774494,Lightning,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030334,10/31/2019,1910020000000.0,Murder and Non-negligent manslaughter,774638,Thunderstorm Wind,13,METROPOLITAN MIAMI-DADE,Homestead
